x,y
0.50445,0.25924
0.50445,0.25924
0.50445,0.25924
0.50445,0.25924
0.50445,0.25924
0.50445,0.25924
0.50445,0.25924
0.50445,0.25924
0.50445,0.25924
0.49985,0.26898
0.49985,0.26898
0.49985,0.26898
0.49985,0.26898
0.49985,0.26898
0.49985,0.26898
0.49985,0.26898
0.49985,0.26898
0.49985,0.26898
0.49985,0.26898
0.50508,0.26693
0.50508,0.26693
0.50508,0.26693
0.50508,0.26693
0.50508,0.26693
0.46445,0.60774
0.51072,0.28111
0.51072,0.28111
0.51072,0.28111
0.51072,0.28111
0.51325,0.28058
0.51325,0.28058
0.51325,0.28058
0.51325,0.28058
0.51325,0.28058
0.50351,0.2713
0.50351,0.2713
0.50351,0.2713
0.48927,0.38199
0.50351,0.2713
0.50351,0.2713
0.51619,0.27525
0.51619,0.27525
0.51619,0.27525
0.51619,0.27525
0.51619,0.27525
0.51619,0.27525
0.4973,0.26555
0.4973,0.26555
0.4973,0.26555
0.4973,0.26555
0.4973,0.26555
0.4973,0.26555
0.50193,0.28072
0.50193,0.28072
0.50193,0.28072
0.50193,0.28072
0.50193,0.28072
0.50193,0.28072
0.49262,0.27792
0.49262,0.27792
0.49262,0.27792
0.49262,0.27792
0.61554,0.5394
0.49262,0.27792
0.50176,0.27886
0.50176,0.27886
0.50176,0.27886
0.50176,0.27886
0.50176,0.27886
0.50176,0.27886
0.50062,0.27831
0.50062,0.27831
0.50062,0.27831
0.50206,0.26773
0.50206,0.26773
0.50206,0.26773
0.67036,0.41613
0.50213,0.25139
0.50213,0.25139
0.50213,0.25139
0.50213,0.25139
0.50213,0.25139
0.50213,0.25139
0.49964,0.25623
0.49964,0.25623
0.49964,0.25623
0.49964,0.25623
0.49964,0.25623
0.49964,0.25623
0.50637,0.258
0.50637,0.258
0.50637,0.258
0.50637,0.258
0.50637,0.258
0.50637,0.258
0.50662,0.25711
0.50662,0.25711
0.50662,0.25711
0.50662,0.25711
0.50662,0.25711
