x,y
0.50377,0.25446
0.49762,0.2586
0.49762,0.2586
0.49762,0.2586
0.49762,0.2586
0.49762,0.2586
0.49762,0.2586
0.49762,0.2586
0.49762,0.2586
0.49762,0.2586
0.49762,0.2586
0.49713,0.26152
0.49713,0.26152
0.49713,0.26152
0.49713,0.26152
0.49713,0.26152
0.49713,0.26152
0.49713,0.26152
0.49713,0.26152
0.49713,0.26152
0.49713,0.26152
0.49962,0.27684
0.49962,0.27684
0.49962,0.27684
0.49962,0.27684
0.49962,0.27684
0.49962,0.27684
0.49962,0.27684
0.49962,0.27684
0.49962,0.27684
0.49736,0.26681
0.49736,0.26681
0.49736,0.26681
0.49736,0.26681
0.49736,0.26681
0.49736,0.26681
0.49736,0.26681
0.49736,0.26681
0.48889,0.27056
0.48889,0.27056
0.48889,0.27056
0.48889,0.27056
0.48889,0.27056
0.48889,0.27056
0.48889,0.27056
0.48889,0.27056
0.48889,0.27056
0.48889,0.27056
0.5036,0.2807
0.5036,0.2807
0.5036,0.2807
0.5036,0.2807
0.5036,0.2807
0.5036,0.2807
0.5036,0.2807
0.5036,0.2807
0.50065,0.26765
0.50065,0.26765
0.50065,0.26765
0.50065,0.26765
0.50065,0.26765
0.50065,0.26765
0.50065,0.26765
0.50065,0.26765
0.50065,0.26765
0.50065,0.26765
0.57497,0.22981
0.57497,0.22981
0.57497,0.22981
0.57497,0.22981
0.57497,0.22981
0.57497,0.22981
0.57497,0.22981
0.57497,0.22981
0.57497,0.22981
0.57497,0.22981
0.49652,0.27683
0.49652,0.27683
0.49652,0.27683
0.49652,0.27683
0.52387,0.29602
0.49652,0.27683
0.49652,0.27683
0.49652,0.27683
0.49652,0.27683
0.49339,0.28019
0.49339,0.28019
0.49339,0.28019
0.49339,0.28019
0.49596,0.27613
0.49596,0.27613
0.49596,0.27613
0.49596,0.27613
0.49596,0.27613
0.49596,0.27613
0.49596,0.27613
0.49596,0.27613
0.49049,0.27903
0.49049,0.27903
0.49049,0.27903
