100
33
0.4035,0.62386,0.75587,0.63984
0.41646,0.60915,0.7536,0.63495
0.42651,0.60285,0.74972,0.61822
0.43451,0.59453,0.74493,0.60759
0.44214,0.59033,0.74228,0.59995
0.44864,0.58739,0.73932,0.58799
0.45925,0.59008,0.73352,0.5792
0.46037,0.58368,0.73115,0.56809
0.45783,0.57336,0.71945,0.5523
0.45386,0.56533,0.70867,0.539
0.4414,0.53966,0.69559,0.52435
0.0,0.0,0.68194,0.51158
0.39984,0.42948,0.62869,0.48302
0.0,0.0,0.61106,0.49003
0.0,0.0,0.59001,0.4718
0.0,0.0,0.57218,0.45033
0.0,0.0,0.55269,0.42566
0.0,0.0,0.5365,0.4077
0.27352,0.24958,0.52037,0.38839
0.26808,0.23452,0.50733,0.36996
0.26771,0.22333,0.49497,0.35547
0.26983,0.21561,0.4851,0.34548
0.2744,0.21431,0.47833,0.33419
0.27516,0.20357,0.47411,0.32672
0.2782,0.20032,0.47094,0.31939
0.28114,0.19982,0.469,0.31656
0.28317,0.20517,0.46741,0.31395
0.28455,0.20294,0.46651,0.31334
0.28588,0.2053,0.46706,0.3149
0.28663,0.2125,0.46873,0.31742
0.28643,0.217,0.4698,0.32179
0.2874,0.2209,0.47212,0.32649
0.2883,0.22875,0.4739,0.33389
26
0.5365,0.5913,0.0,0.0
0.53588,0.59032,0.0,0.0
0.53387,0.58635,0.0,0.0
0.53553,0.58905,0.0,0.0
0.5373,0.58622,0.0,0.0
0.53696,0.58323,0.0,0.0
0.53527,0.5761,0.0,0.0
0.53232,0.56435,0.0,0.0
0.52904,0.55639,0.0,0.0
0.52828,0.54954,0.0,0.0
0.52192,0.54114,0.53555,0.50861
0.51624,0.53639,0.53777,0.504
0.51075,0.53423,0.53772,0.49939
0.50333,0.53462,0.53706,0.49528
0.49546,0.53911,0.53536,0.49458
0.48716,0.55004,0.53679,0.49209
0.4809,0.56623,0.5367,0.49376
0.47812,0.59,0.53768,0.4921
0.47587,0.63254,0.53653,0.49303
0.45898,0.67063,0.53892,0.49379
0.44856,0.69243,0.53746,0.49776
0.43404,0.70579,0.54288,0.49858
0.42912,0.71577,0.5415,0.50133
0.43029,0.71646,0.54078,0.50396
0.42636,0.70969,0.542,0.50432
0.42886,0.70324,0.54425,0.50735
36
0.47442,0.38686,0.59126,0.38448
0.47223,0.38248,0.59048,0.37954
0.46978,0.37596,0.59124,0.37419
0.46687,0.36909,0.59233,0.37037
0.46245,0.36687,0.59245,0.36577
0.45754,0.36691,0.59459,0.36304
0.45205,0.36684,0.59608,0.35934
0.45065,0.37492,0.59762,0.35734
