x,y
0.51224,0.25109
0.50014,0.24823
0.50014,0.24823
0.50014,0.24823
0.50014,0.24823
0.50014,0.24823
0.50014,0.24823
0.50014,0.24823
0.49717,0.23123
0.49717,0.23123
0.49717,0.23123
0.49717,0.23123
0.49717,0.23123
0.49717,0.23123
0.49717,0.23123
0.49717,0.23123
0.49717,0.23123
0.49717,0.23123
0.49717,0.23123
0.49717,0.23123
0.51331,0.25926
0.51613,0.24878
0.51613,0.24878
0.51613,0.24878
0.51613,0.24878
0.51613,0.24878
0.51613,0.24878
0.51613,0.24878
0.51613,0.24878
0.51107,0.23913
0.51107,0.23913
0.51107,0.23913
0.51107,0.23913
0.51107,0.23913
0.51107,0.23913
0.51107,0.23913
0.51107,0.23913
0.51107,0.23913
0.49261,0.24964
0.49261,0.24964
0.49261,0.24964
0.49261,0.24964
0.49261,0.24964
0.49261,0.24964
0.49261,0.24964
0.49261,0.24964
0.49261,0.24964
0.49261,0.24964
0.50425,0.24906
0.50425,0.24906
0.50425,0.24906
0.50425,0.24906
0.50425,0.24906
0.50425,0.24906
0.50425,0.24906
0.52576,0.26894
0.5058,0.24982
0.5058,0.24982
0.5058,0.24982
0.5058,0.24982
0.5058,0.24982
0.5058,0.24982
0.5058,0.24982
0.5058,0.24982
0.5058,0.24982
0.50572,0.23071
0.50572,0.23071
0.50572,0.23071
0.50572,0.23071
0.50572,0.23071
0.50572,0.23071
0.50572,0.23071
0.50572,0.23071
0.50572,0.23071
0.5052,0.228
0.5052,0.228
0.5052,0.228
0.5052,0.228
0.5052,0.228
0.5052,0.228
0.5052,0.228
0.5052,0.228
0.5051,0.23139
0.4518,0.4515
0.5051,0.23139
0.5051,0.23139
0.50549,0.22696
0.50549,0.22696
0.50549,0.22696
0.50549,0.22696
0.50549,0.22696
0.51772,0.24486
0.51772,0.24486
0.51772,0.24486
0.51772,0.24486
0.51772,0.24486
0.51772,0.24486
0.55843,0.39108
0.51772,0.24486
0.50409,0.2307
